IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.21.244,4,4,0.00,58.02,27.53
104.17.56.144,4,4,0.00,57.71,26.46
172.64.157.70,4,4,0.00,60.15,26.15
104.16.159.171,4,4,0.00,58.89,13.00
104.16.244.25,4,4,0.00,59.22,1.83
104.17.16.251,4,4,0.00,58.10,1.74
104.17.55.225,4,4,0.00,56.87,1.51
104.17.61.90,4,4,0.00,60.38,1.31
104.16.255.248,4,4,0.00,59.40,1.14
104.17.105.165,4,4,0.00,59.83,1.02
